timestamp,temperature,moisture,CO2,TVOC,aeration_score,chi_score
2025-02-14 09:57:11,19.88,0.74,439.0,133.5,0.65,0.13
2025-02-14 09:57:16,19.87,0.7,433.0,5.0,0.47,0.09
2025-02-14 09:57:21,19.85,0.74,435.0,5.0,0.47,0.09
2025-02-14 09:57:26,19.84,0.7,433.0,5.0,0.47,0.09
2025-02-14 09:57:31,19.85,0.71,435.0,5.0,0.47,0.09
2025-02-14 09:57:36,19.82,0.71,443.0,6.0,0.47,0.09
2025-02-14 09:57:41,19.79,0.7,435.0,5.0,0.47,0.09
2025-02-14 09:57:46,19.81,0.74,440.33,5.67,0.47,0.09
2025-02-14 09:57:51,19.8,0.71,435.0,5.0,0.47,0.09
2025-02-14 09:57:56,19.8,0.73,431.0,4.67,0.47,0.09
2025-02-14 09:58:01,19.76,0.74,423.5,3.5,0.46,0.09
2025-02-14 09:58:06,19.77,0.77,419.0,2.5,0.46,0.09
2025-02-14 09:58:11,19.77,0.71,419.67,45.33,0.52,0.1
2025-02-14 09:58:16,19.76,0.74,430.0,4.5,0.47,0.09
2025-02-14 09:58:21,19.72,0.72,435.0,5.0,0.47,0.09
2025-02-14 09:58:26,19.73,0.73,430.5,4.0,0.47,0.09
2025-02-14 09:58:31,19.72,0.74,432.5,4.5,0.47,0.09
2025-02-14 09:58:36,19.71,0.75,433.0,5.0,0.47,0.09
2025-02-14 09:58:41,19.71,0.74,-1.0,-1.0,-1,0.06
2025-02-14 09:58:46,19.69,0.74,426.5,3.5,0.46,0.09
2025-02-14 09:58:51,19.68,0.76,427.33,4.0,0.46,0.09
2025-02-14 09:58:56,19.68,0.76,419.67,2.67,0.46,0.09
2025-02-14 09:59:01,19.68,0.77,403.0,0.0,0.45,0.09
2025-02-14 09:59:06,19.65,0.83,424.0,3.0,0.46,0.09
2025-02-14 09:59:11,19.65,0.73,200.0,0.0,0.37,0.07
2025-02-14 09:59:16,19.65,0.8,409.0,1.0,0.45,0.09
2025-02-14 09:59:21,19.62,0.81,411.5,1.5,0.45,0.09
2025-02-14 09:59:26,19.65,0.74,-1.0,-1.0,-1,0.06
2025-02-14 09:59:31,19.62,0.74,428.0,4.0,0.46,0.09
2025-02-14 09:59:36,19.61,0.75,432.0,4.0,0.47,0.09
2025-02-14 09:59:41,19.6,0.77,439.5,5.5,0.47,0.09
2025-02-14 09:59:46,19.61,0.77,438.0,5.0,0.47,0.09
2025-02-14 09:59:51,19.56,0.77,435.33,47.67,0.53,0.11
2025-02-14 09:59:56,19.58,0.77,430.0,4.33,0.47,0.09
2025-02-14 10:00:01,19.58,0.77,428.0,4.0,0.46,0.09
2025-02-14 10:00:06,19.55,0.8,426.0,3.0,0.46,0.09
2025-02-14 10:00:11,19.54,0.81,431.0,4.5,0.47,0.09
2025-02-14 10:00:16,19.54,0.8,432.0,4.0,0.47,0.09
2025-02-14 10:00:21,19.56,0.78,427.0,3.5,0.46,0.09
2025-02-14 10:00:26,19.58,0.82,432.33,4.33,0.47,0.09
2025-02-14 10:00:31,19.65,0.74,433.5,4.5,0.47,0.09
2025-02-14 10:00:36,19.69,0.71,424.5,3.5,0.46,0.09
2025-02-14 10:00:41,19.68,0.75,419.5,66.0,0.54,0.11
2025-02-14 10:00:46,19.71,0.74,420.5,2.5,0.46,0.09
2025-02-14 10:00:51,19.75,0.68,428.0,4.0,0.46,0.09
2025-02-14 10:00:56,19.77,0.66,413.0,1.0,0.45,0.09
2025-02-14 10:01:01,19.76,0.69,420.0,2.33,0.46,0.09
2025-02-14 10:01:06,19.79,0.64,418.0,2.0,0.46,0.09
2025-02-14 10:01:11,19.76,0.66,421.33,3.0,0.46,0.09
2025-02-14 10:01:16,19.83,0.59,424.5,34.5,0.5,0.1
2025-02-14 10:01:21,19.83,0.6,423.33,46.0,0.52,0.1
2025-02-14 10:01:26,19.79,0.61,431.0,4.5,0.47,0.09
2025-02-14 10:01:31,19.79,0.61,425.5,3.5,0.46,0.09
2025-02-14 10:01:36,19.79,0.64,408.0,1.0,0.45,0.09
2025-02-14 10:01:41,19.83,0.65,428.0,4.0,0.46,0.09
2025-02-14 10:01:46,19.82,0.65,415.5,1.5,0.46,0.09
2025-02-14 10:01:51,19.79,0.59,418.0,2.0,0.46,0.09
2025-02-14 10:01:56,19.77,0.63,414.0,65.5,0.54,0.11
2025-02-14 10:02:01,19.75,0.64,411.5,65.0,0.54,0.11
2025-02-14 10:02:06,19.8,0.64,427.0,3.5,0.46,0.09
2025-02-14 10:02:11,19.76,0.66,423.0,3.0,0.46,0.09
2025-02-14 10:02:16,19.75,0.62,424.5,67.0,0.55,0.11
2025-02-14 10:02:21,19.81,0.59,424.5,67.0,0.55,0.11
2025-02-14 10:02:26,19.86,0.62,426.0,3.0,0.46,0.09
2025-02-14 10:02:31,19.85,0.58,426.0,3.0,0.46,0.09
2025-02-14 10:02:36,19.86,0.57,418.0,2.0,0.46,0.09
2025-02-14 10:02:41,19.86,0.61,426.0,3.0,0.46,0.09
2025-02-14 10:02:46,19.94,0.57,423.0,3.0,0.46,0.09
2025-02-14 10:02:51,19.91,0.58,415.33,1.67,0.46,0.09
2025-02-14 10:02:56,19.91,0.58,419.0,2.5,0.46,0.09
2025-02-14 10:03:01,19.91,0.57,426.0,3.0,0.46,0.09
2025-02-14 10:03:06,19.94,0.52,417.0,2.0,0.46,0.09
2025-02-14 10:03:11,19.99,0.54,421.5,2.5,0.46,0.09
2025-02-14 10:03:16,19.99,0.48,433.0,4.5,0.47,0.09
2025-02-14 10:03:21,19.97,0.54,433.0,4.5,0.47,0.09
2025-02-14 10:03:26,19.99,0.5,422.5,3.0,0.46,0.09
2025-02-14 10:03:31,20.04,0.5,421.0,2.5,0.46,0.09
2025-02-14 10:03:36,20.01,0.48,429.33,3.67,0.46,0.09
2025-02-14 10:03:41,20.03,0.51,432.67,4.33,0.47,0.09
2025-02-14 10:03:46,20.05,0.49,429.0,3.5,0.46,0.09
2025-02-14 10:03:51,20.14,0.45,426.0,3.0,0.46,0.09
2025-02-14 10:03:56,20.18,0.44,417.0,2.0,0.46,0.09
2025-02-14 10:04:01,20.24,0.4,413.0,1.5,0.45,0.09
2025-02-14 10:04:06,20.26,0.37,420.0,2.33,0.46,0.09
2025-02-14 10:04:11,20.27,0.39,421.5,2.5,0.46,0.09
2025-02-14 10:04:16,20.25,0.42,-1.0,-1.0,-1,0.06
2025-02-14 10:04:21,20.21,0.4,422.5,3.0,0.46,0.09
2025-02-14 10:04:26,20.19,0.39,438.0,5.0,0.47,0.09
2025-02-14 10:04:31,20.15,0.41,430.67,4.0,0.47,0.09
2025-02-14 10:04:36,20.14,0.41,421.5,2.5,0.46,0.09
2025-02-14 10:04:41,20.1,0.44,426.33,45.33,0.52,0.1
2025-02-14 10:04:46,20.13,0.44,434.0,5.0,0.47,0.09
2025-02-14 10:04:51,20.11,0.47,436.0,5.0,0.47,0.09
2025-02-14 10:04:56,20.13,0.44,434.0,5.0,0.47,0.09
2025-02-14 10:05:01,20.11,0.44,434.0,5.0,0.47,0.09
2025-02-14 10:05:06,20.13,0.47,434.0,5.0,0.47,0.09
2025-02-14 10:05:11,20.13,0.48,432.67,46.33,0.52,0.1
2025-02-14 10:05:16,20.14,0.45,433.0,4.5,0.47,0.09
2025-02-14 10:05:21,20.18,0.41,432.0,4.0,0.47,0.09
2025-02-14 10:05:26,20.2,0.45,425.0,3.5,0.46,0.09
2025-02-14 10:05:31,20.2,0.41,428.0,4.0,0.46,0.09
2025-02-14 10:05:36,20.18,0.41,430.0,4.0,0.47,0.09
2025-02-14 10:05:41,20.18,0.47,438.0,69.0,0.56,0.11
2025-02-14 10:05:46,20.15,0.44,416.0,2.0,0.46,0.09
2025-02-14 10:05:51,20.11,0.41,429.33,4.0,0.46,0.09
2025-02-14 10:05:56,20.1,0.45,438.0,5.0,0.47,0.09
2025-02-14 10:06:01,20.12,0.48,427.0,3.5,0.46,0.09
2025-02-14 10:06:06,20.07,0.47,436.67,5.0,0.47,0.09
2025-02-14 10:06:11,20.09,0.54,433.0,4.5,0.47,0.09
2025-02-14 10:06:16,20.06,0.48,436.67,5.0,0.47,0.09
2025-02-14 10:06:21,20.03,0.48,438.0,67.5,0.55,0.11
2025-02-14 10:06:26,20.04,0.54,432.0,4.5,0.47,0.09
2025-02-14 10:06:31,19.99,0.57,430.0,4.0,0.47,0.09
2025-02-14 10:06:36,19.98,0.51,457.0,8.0,0.48,0.1
2025-02-14 10:06:41,19.99,0.54,442.5,6.0,0.47,0.09
2025-02-14 10:06:46,19.94,0.53,442.67,5.67,0.47,0.09
2025-02-14 10:06:51,19.94,0.51,-1.0,-1.0,-1,0.06
2025-02-14 10:06:56,19.92,0.6,438.5,5.0,0.47,0.09
2025-02-14 10:07:01,19.89,0.56,454.0,8.0,0.48,0.1
2025-02-14 10:07:06,19.9,0.54,445.5,6.5,0.47,0.09
2025-02-14 10:07:11,19.87,0.57,445.67,6.33,0.47,0.09
2025-02-14 10:07:16,19.87,0.59,432.0,4.0,0.47,0.09
2025-02-14 10:07:21,19.84,0.58,454.0,8.0,0.48,0.1
2025-02-14 10:07:26,19.83,0.6,-1.0,-1.0,-1,0.06
2025-02-14 10:07:31,19.82,0.58,458.33,51.0,0.54,0.11
2025-02-14 10:07:36,19.81,0.61,454.0,8.0,0.48,0.1
2025-02-14 10:07:41,19.79,0.57,454.0,71.0,0.57,0.11
2025-02-14 10:07:46,19.79,0.61,454.0,8.0,0.48,0.1
2025-02-14 10:07:51,19.76,0.57,448.67,6.67,0.48,0.1
2025-02-14 10:07:56,19.79,0.63,454.0,7.67,0.48,0.1
2025-02-14 10:08:01,19.75,0.63,449.67,7.0,0.48,0.1
2025-02-14 10:08:06,19.72,0.64,451.0,7.0,0.48,0.1
2025-02-14 10:08:11,19.72,0.67,448.0,6.67,0.48,0.1
2025-02-14 10:08:16,19.69,0.67,446.0,6.5,0.48,0.1
2025-02-14 10:08:21,19.7,0.64,445.5,6.5,0.47,0.09
2025-02-14 10:08:26,19.68,0.64,444.0,70.5,0.56,0.11
2025-02-14 10:08:31,19.7,0.67,-1.0,-1.0,-1,0.06
2025-02-14 10:08:36,19.67,0.65,266.67,0.0,0.39,0.08
2025-02-14 10:08:41,19.66,0.67,411.5,1.5,0.45,0.09
2025-02-14 10:08:46,19.66,0.64,411.0,1.5,0.45,0.09
2025-02-14 10:08:51,19.62,0.69,412.0,65.0,0.54,0.11
2025-02-14 10:08:56,19.63,0.7,408.5,1.0,0.45,0.09
2025-02-14 10:09:01,19.66,0.65,400.0,0.0,0.45,0.09
2025-02-14 10:09:06,19.67,0.7,418.0,2.5,0.46,0.09
2025-02-14 10:09:11,19.66,0.67,414.0,2.0,0.46,0.09
2025-02-14 10:09:16,19.67,0.64,419.0,45.0,0.51,0.1
2025-02-14 10:09:21,19.67,0.68,414.0,2.0,0.46,0.09
2025-02-14 10:09:26,19.68,0.64,415.67,2.0,0.46,0.09
2025-02-14 10:09:31,19.68,0.65,413.0,1.5,0.45,0.09
2025-02-14 10:09:36,19.69,0.72,-1.0,-1.0,-1,0.06
2025-02-14 10:09:41,19.68,0.65,417.0,2.0,0.46,0.09
2025-02-14 10:09:46,19.66,0.64,424.0,3.0,0.46,0.09
2025-02-14 10:09:51,19.65,0.65,411.0,65.5,0.54,0.11
2025-02-14 10:09:56,19.63,0.68,427.0,4.0,0.46,0.09
2025-02-14 10:10:01,19.65,0.67,429.0,4.33,0.47,0.09
2025-02-14 10:10:06,19.62,0.7,427.0,4.0,0.46,0.09
2025-02-14 10:10:11,19.6,0.65,431.0,4.5,0.47,0.09
2025-02-14 10:10:16,19.6,0.68,455.0,8.0,0.48,0.1
2025-02-14 10:10:21,19.6,0.7,477.0,11.0,0.49,0.1
2025-02-14 10:10:26,19.6,0.67,499.5,14.5,0.51,0.1
2025-02-14 10:10:31,19.61,0.68,539.67,20.67,0.53,0.11
2025-02-14 10:10:36,19.62,0.68,540.0,21.0,0.53,0.11
2025-02-14 10:10:41,19.62,0.67,544.0,21.33,0.54,0.11
2025-02-14 10:10:46,19.61,0.68,517.0,17.0,0.52,0.1
2025-02-14 10:10:51,19.6,0.67,491.0,13.0,0.5,0.1
2025-02-14 10:10:56,19.61,0.67,463.5,9.0,0.49,0.1
2025-02-14 10:11:01,19.57,0.67,455.0,8.0,0.48,0.1
2025-02-14 10:11:06,19.6,0.7,438.33,5.33,0.47,0.09
2025-02-14 10:11:11,19.61,0.67,426.5,3.5,0.46,0.09
2025-02-14 10:11:16,19.6,0.66,433.0,5.0,0.47,0.09
2025-02-14 10:11:21,19.62,0.71,421.5,3.0,0.46,0.09
2025-02-14 10:11:26,19.61,0.67,418.5,2.5,0.46,0.09
2025-02-14 10:11:31,19.6,0.72,417.0,2.0,0.46,0.09
2025-02-14 10:11:36,19.57,0.64,416.33,44.67,0.51,0.1
2025-02-14 10:11:41,19.57,0.69,435.0,5.0,0.47,0.09
2025-02-14 10:11:46,19.58,0.77,418.5,2.5,0.46,0.09
2025-02-14 10:11:51,19.56,0.71,424.0,3.0,0.46,0.09
2025-02-14 10:11:56,19.57,0.68,403.0,0.0,0.45,0.09
2025-02-14 10:12:01,19.55,0.78,409.0,1.0,0.45,0.09
