timestamp,temperature,moisture,CO2,TVOC
2025-02-11 20:38:53,17.81,52.1,587.24,89.27
2025-02-11 20:38:57,30.0,32.05,505.91,477.18
2025-02-11 20:39:03,20.87,59.89,799.25,311.1
2025-02-11 20:39:08,30.99,79.28,856.63,376.85
2025-02-11 20:39:12,26.88,89.68,988.01,285.78
2025-02-11 20:39:18,22.89,35.84,836.13,382.94
2025-02-11 20:39:23,34.54,55.37,642.27,116.95
2025-02-11 20:39:28,22.32,77.35,626.19,406.6
2025-02-11 20:39:33,19.84,60.63,948.62,73.95
2025-02-11 20:39:38,29.53,64.34,939.35,291.43
2025-02-11 20:39:43,17.86,12.74,839.1,217.94
2025-02-11 20:39:48,28.77,36.25,832.98,222.5
2025-02-11 20:39:53,23.93,42.1,825.69,432.79
2025-02-11 20:39:58,34.67,73.97,915.51,339.15
2025-02-11 20:40:03,34.22,78.02,554.21,275.43
2025-02-11 20:40:08,25.25,16.37,438.28,383.07
2025-02-11 20:40:13,22.27,62.09,809.71,306.95
2025-02-11 20:44:26,23.8,78.81,879.45,158.51
2025-02-11 20:44:31,21.05,33.18,951.29,91.16
2025-02-11 20:44:36,20.32,35.63,725.88,357.95
2025-02-11 20:44:41,28.42,77.28,749.26,435.38
2025-02-11 20:44:46,28.83,20.88,506.17,316.22
2025-02-11 20:44:51,33.1,29.41,826.19,346.38
2025-02-11 20:44:56,23.25,47.26,809.17,88.23
2025-02-11 20:45:01,23.72,73.1,930.71,437.31
2025-02-11 20:45:06,23.2,76.76,652.74,210.28
2025-02-11 20:45:11,15.8,29.37,735.82,497.51
2025-02-11 20:45:16,27.19,31.74,834.46,248.65
2025-02-11 20:45:21,32.88,38.19,626.55,157.37
2025-02-11 20:45:26,25.15,74.11,955.69,209.76
2025-02-11 20:45:31,29.21,51.94,643.66,395.23
2025-02-11 20:45:36,17.21,58.4,587.95,276.03
2025-02-11 20:45:41,34.4,22.58,630.31,72.89
2025-02-11 20:45:46,29.82,36.43,978.04,348.41
2025-02-11 20:45:51,25.86,27.2,881.57,284.61
2025-02-11 20:45:56,22.18,36.37,882.54,54.07
2025-02-11 20:46:01,19.1,55.3,556.19,311.81
2025-02-11 20:46:06,20.44,20.06,599.12,467.97
2025-02-11 20:46:11,34.8,43.55,495.61,327.73
2025-02-11 20:46:16,33.5,29.18,477.06,231.63
2025-02-11 20:46:21,29.61,65.89,629.83,387.95
2025-02-11 20:46:26,24.37,47.9,796.79,268.4
2025-02-11 20:46:31,20.79,67.74,631.31,366.41
2025-02-11 20:46:36,19.56,23.06,953.2,465.84
2025-02-11 20:46:41,17.58,21.47,690.59,430.3
2025-02-11 20:46:46,22.13,56.04,742.82,73.02
2025-02-11 20:46:51,16.04,43.94,474.09,53.14
2025-02-11 20:46:56,20.96,16.19,805.85,486.04
2025-02-11 20:53:46,29.12,11.4,578.59,420.17
2025-02-11 20:53:51,15.14,26.0,859.9,383.1
2025-02-11 20:53:56,24.27,80.69,506.09,70.27
2025-02-11 20:54:01,17.03,29.47,660.31,487.49
2025-02-11 20:54:06,21.43,12.7,628.4,132.36
2025-02-11 20:54:11,26.21,51.1,604.69,470.63
2025-02-11 20:54:16,29.29,74.16,528.24,182.66
2025-02-11 20:54:21,19.26,54.55,798.72,493.05
2025-02-11 20:54:26,24.7,75.77,626.26,214.0
2025-02-11 20:54:31,15.23,15.68,612.88,98.91
2025-02-11 20:54:36,30.94,56.27,867.66,235.9
2025-02-11 20:54:41,29.28,14.3,813.68,354.8
2025-02-11 20:54:46,20.29,89.29,959.48,95.74
2025-02-11 20:54:51,21.34,31.13,488.9,265.28
2025-02-11 20:54:56,26.52,23.04,777.1,174.14
2025-02-11 20:55:01,22.6,36.92,589.55,476.09
2025-02-11 20:55:06,29.17,74.27,591.21,462.21
2025-02-11 20:55:11,25.67,60.95,508.98,341.67
2025-02-11 20:55:16,32.0,18.63,426.64,343.81
2025-02-11 20:55:21,27.14,29.46,676.99,134.38
2025-02-11 20:55:26,17.14,65.23,901.04,327.21
2025-02-11 20:55:31,22.59,45.22,875.8,404.46
2025-02-11 20:55:36,26.45,56.66,708.22,477.69
2025-02-11 20:55:41,27.55,49.4,588.97,56.72
2025-02-11 20:55:46,32.31,87.28,970.38,150.73
2025-02-11 20:55:51,29.04,39.55,620.24,431.06
2025-02-11 20:55:56,17.22,70.4,980.01,488.24
2025-02-11 20:56:01,22.71,82.82,632.33,190.25
2025-02-11 20:56:06,21.91,31.81,738.89,252.23
2025-02-11 20:56:11,27.67,45.77,918.04,367.27
2025-02-11 20:56:16,26.24,21.39,698.27,380.0
2025-02-11 20:56:21,28.01,27.91,814.42,357.51
2025-02-11 20:56:26,23.79,86.75,444.68,94.73
2025-02-11 20:56:31,15.02,42.89,706.1,108.21
2025-02-11 20:56:36,34.62,21.62,569.78,80.39
2025-02-11 20:56:41,25.43,70.8,870.71,199.53
2025-02-11 20:56:46,17.67,60.98,974.75,135.88
2025-02-11 20:56:51,22.95,31.43,903.34,206.73
2025-02-11 20:56:56,24.39,29.99,808.9,369.84
2025-02-11 20:57:01,20.35,38.03,574.38,399.85
2025-02-11 20:57:06,17.84,58.4,821.15,417.15
2025-02-11 20:57:11,21.88,63.33,958.54,320.57
2025-02-11 20:57:16,34.08,74.35,811.39,181.01
2025-02-11 20:57:21,24.3,78.25,441.33,79.21
2025-02-11 20:57:26,21.74,89.95,533.63,413.63
2025-02-11 20:57:31,29.66,14.46,760.76,438.47
2025-02-11 20:57:36,34.88,32.85,659.56,136.56
2025-02-11 20:57:41,24.49,73.15,755.15,457.32
2025-02-11 20:57:46,24.91,36.83,477.59,156.72
2025-02-11 20:57:51,32.27,28.04,783.39,72.16
2025-02-11 20:57:56,28.44,31.4,451.53,66.88
