timestamp,temperature,moisture,CO2,TVOC
2025-02-11 20:38:53,27.38,27.92,637.36,367.62
2025-02-11 20:38:58,28.9,26.45,716.14,294.0
2025-02-11 20:39:03,30.94,33.74,612.43,345.78
2025-02-11 20:39:08,19.1,25.91,650.49,253.25
2025-02-11 20:39:13,20.93,47.0,735.59,126.93
2025-02-11 20:39:18,17.58,55.21,454.1,498.41
2025-02-11 20:39:23,15.13,73.51,657.95,427.24
2025-02-11 20:39:28,23.35,21.06,463.29,180.97
2025-02-11 20:39:33,26.78,50.09,665.6,147.01
2025-02-11 20:39:38,31.81,54.17,693.77,259.77
2025-02-11 20:39:43,29.35,85.59,511.43,337.43
2025-02-11 20:39:48,32.69,59.54,921.7,289.05
2025-02-11 20:39:53,24.11,67.25,849.12,398.97
2025-02-11 20:39:58,24.43,22.16,912.85,144.63
2025-02-11 20:40:03,29.23,80.65,984.96,372.27
2025-02-11 20:40:08,25.42,62.96,424.37,395.57
2025-02-11 20:40:13,17.18,76.9,647.84,159.08
2025-02-11 20:44:26,34.74,42.94,862.77,231.07
2025-02-11 20:44:31,28.85,82.2,807.89,233.35
2025-02-11 20:44:36,28.18,56.27,658.49,273.84
2025-02-11 20:44:41,30.35,87.47,621.09,428.54
2025-02-11 20:44:46,26.73,74.02,608.9,234.52
2025-02-11 20:44:51,27.93,46.64,988.96,116.43
2025-02-11 20:44:56,26.84,41.95,989.12,324.63
2025-02-11 20:45:01,26.62,44.44,828.73,341.13
2025-02-11 20:45:06,18.78,64.51,814.64,416.95
2025-02-11 20:45:11,29.3,21.79,969.66,347.65
2025-02-11 20:45:16,17.28,11.36,901.9,201.56
2025-02-11 20:45:21,18.78,58.8,457.93,185.99
2025-02-11 20:45:26,22.97,54.04,795.67,83.19
2025-02-11 20:45:31,23.18,49.82,719.14,389.29
2025-02-11 20:45:36,21.45,63.56,991.89,427.94
2025-02-11 20:45:41,23.77,29.13,686.74,50.54
2025-02-11 20:45:46,15.53,81.66,484.14,490.06
2025-02-11 20:45:51,17.41,43.0,598.35,272.23
2025-02-11 20:45:56,28.38,54.22,954.53,444.76
2025-02-11 20:46:01,32.45,76.16,685.92,315.11
2025-02-11 20:46:06,23.47,64.98,993.32,234.66
2025-02-11 20:46:11,20.86,56.33,450.77,370.92
2025-02-11 20:46:16,34.15,43.29,991.59,357.29
2025-02-11 20:46:21,20.56,27.83,404.93,239.17
2025-02-11 20:46:26,29.96,20.98,507.95,201.01
2025-02-11 20:46:31,29.31,69.54,736.14,207.04
2025-02-11 20:46:36,33.51,79.27,979.55,397.44
2025-02-11 20:46:41,22.78,82.78,745.03,83.75
2025-02-11 20:46:46,23.77,38.07,854.13,52.04
2025-02-11 20:46:51,31.22,21.31,952.22,116.77
2025-02-11 20:46:56,26.85,24.43,464.31,455.37
2025-02-11 20:53:46,16.66,48.05,535.13,207.79
2025-02-11 20:53:51,20.85,52.52,601.3,469.92
2025-02-11 20:53:56,25.39,86.98,868.03,169.44
2025-02-11 20:54:01,31.29,79.25,690.23,390.5
2025-02-11 20:54:06,23.91,13.92,522.98,132.47
2025-02-11 20:54:11,29.59,77.75,507.79,357.08
2025-02-11 20:54:16,29.2,74.73,999.3,90.53
2025-02-11 20:54:21,23.38,59.18,816.1,404.01
2025-02-11 20:54:26,18.72,86.67,536.69,422.27
2025-02-11 20:54:31,20.19,76.16,985.36,156.46
2025-02-11 20:54:36,26.52,29.78,795.36,450.04
2025-02-11 20:54:41,28.14,12.53,834.7,311.01
2025-02-11 20:54:46,23.44,64.99,882.4,399.4
2025-02-11 20:54:51,21.43,25.66,754.2,235.6
2025-02-11 20:54:56,17.96,13.2,565.95,258.18
2025-02-11 20:55:01,19.35,65.91,409.7,369.54
2025-02-11 20:55:06,29.63,81.33,420.75,229.59
2025-02-11 20:55:11,33.37,67.24,938.6,268.74
2025-02-11 20:55:16,24.71,86.61,481.47,124.95
2025-02-11 20:55:21,30.37,28.48,433.34,430.15
2025-02-11 20:55:26,27.52,37.06,610.11,382.91
2025-02-11 20:55:31,30.84,89.02,427.5,216.35
2025-02-11 20:55:36,32.6,15.81,767.42,142.89
2025-02-11 20:55:41,31.61,87.22,577.19,452.32
2025-02-11 20:55:46,27.54,73.81,880.72,415.14
2025-02-11 20:55:51,31.8,78.8,460.25,58.46
2025-02-11 20:55:56,34.57,18.08,522.22,247.88
2025-02-11 20:56:01,34.97,25.39,977.08,482.6
2025-02-11 20:56:06,18.79,88.34,645.78,78.72
2025-02-11 20:56:11,28.21,26.07,871.05,237.81
2025-02-11 20:56:16,22.08,60.21,882.45,254.35
2025-02-11 20:56:21,17.66,64.14,549.55,347.36
2025-02-11 20:56:26,22.51,63.78,743.81,246.51
2025-02-11 20:56:31,27.26,28.4,707.67,412.89
2025-02-11 20:56:36,23.11,87.4,917.09,279.78
2025-02-11 20:56:41,32.13,74.92,691.03,475.6
2025-02-11 20:56:46,22.79,84.11,810.78,331.03
2025-02-11 20:56:51,25.71,30.95,871.02,106.94
2025-02-11 20:56:56,24.91,81.2,972.63,336.33
2025-02-11 20:57:01,23.59,75.8,807.88,478.84
2025-02-11 20:57:06,26.91,13.14,452.15,259.55
