timestamp,temperature,moisture,CO2,TVOC
2025-02-03 21:49:31,20.19,40.43,99.23,24.9
2025-02-03 21:50:31,20.38,41.43,98.72,24.77
2025-02-03 21:51:31,20.17,40.7,97.76,24.73
2025-02-03 21:52:31,19.67,41.21,98.01,24.9
2025-02-03 21:53:31,19.45,41.13,98.39,25.07
2025-02-03 21:54:31,19.89,42.02,99.37,25.01
2025-02-03 21:55:31,20.17,41.09,98.82,24.92
2025-02-03 21:56:31,20.36,41.34,99.67,24.68
2025-02-03 21:57:31,20.02,41.15,100.23,24.4
2025-02-03 21:58:31,20.21,40.46,99.14,24.22
2025-02-03 21:59:31,19.93,40.57,99.29,24.06
2025-02-03 22:00:31,20.2,40.08,98.02,24.25
2025-02-03 22:01:31,20.01,40.17,96.7,24.07
2025-02-03 22:02:31,19.97,40.53,98.36,24.25
2025-02-03 22:03:31,20.45,40.01,98.7,24.19
2025-02-03 22:04:31,20.0,39.71,97.67,24.34
2025-02-03 22:05:31,20.36,39.7,98.56,24.06
2025-02-03 22:06:31,20.55,39.47,97.66,24.16
2025-02-03 22:07:31,20.69,38.52,96.22,24.02
2025-02-03 22:08:31,20.77,38.47,97.8,24.25
2025-02-03 22:09:31,20.64,38.38,98.69,24.24
2025-02-03 22:10:31,20.54,38.2,98.85,24.37
2025-02-03 22:11:31,20.14,37.93,100.26,24.17
2025-02-03 22:12:31,20.45,38.07,102.12,24.43
2025-02-03 22:13:31,20.29,38.47,100.56,24.69
2025-02-03 22:14:31,20.65,38.4,100.02,24.86
2025-02-03 22:15:31,20.92,38.35,101.09,24.64
2025-02-03 22:16:31,20.76,38.46,100.87,24.88
2025-02-03 22:17:31,20.61,38.96,100.68,24.7
2025-02-03 22:18:31,21.09,38.66,100.31,24.53
2025-02-03 22:19:31,20.93,38.28,99.92,24.31
2025-02-03 22:20:31,21.1,37.94,99.55,24.18
2025-02-03 22:21:31,20.61,37.68,97.93,24.28
2025-02-03 22:22:31,20.85,37.42,99.58,24.09
2025-02-03 22:23:31,20.37,38.28,100.71,24.28
2025-02-03 22:24:31,20.53,39.06,101.74,24.29
2025-02-03 22:25:31,20.3,38.52,103.54,24.03
2025-02-03 22:26:31,20.28,38.61,101.68,23.83
2025-02-03 22:27:31,20.29,39.1,102.16,23.9
2025-02-03 22:28:31,20.68,38.72,103.63,24.12
2025-02-03 22:29:31,20.58,38.8,103.92,24.35
2025-02-03 22:30:31,20.87,38.75,103.55,24.05
2025-02-03 22:31:31,20.92,38.38,101.61,24.21
2025-02-03 22:32:31,20.55,38.28,101.63,24.27
2025-02-03 22:33:31,20.8,37.8,100.47,24.38
2025-02-03 22:34:31,21.21,37.27,102.17,24.59
2025-02-03 22:35:31,21.11,36.74,104.06,24.58
2025-02-03 22:36:31,20.76,36.93,103.53,24.36
2025-02-03 22:37:31,20.83,37.03,103.11,24.6
2025-02-03 22:38:31,20.66,36.22,101.13,24.84
