timestamp,temperature,moisture,CO2,TVOC
2025-02-11 14:16:44,19.59,39.47,99.33,25.14
2025-02-11 14:16:49,19.7,39.17,97.59,25.15
2025-02-11 14:16:54,19.68,38.21,97.81,24.91
2025-02-11 14:16:59,19.86,38.78,99.23,24.81
2025-02-11 14:17:04,19.89,38.2,98.44,24.57
2025-02-11 14:17:09,19.8,38.83,97.98,24.33
2025-02-11 14:17:14,19.59,38.36,97.65,24.08
2025-02-11 14:17:19,19.63,39.04,99.56,24.28
2025-02-11 14:17:24,19.76,38.35,100.2,24.24
2025-02-11 14:17:29,20.17,38.17,99.62,24.46
2025-02-11 14:17:34,20.64,37.39,101.43,24.57
2025-02-11 14:17:39,21.09,37.34,100.8,24.54
2025-02-11 14:17:44,21.45,36.59,99.92,24.58
2025-02-11 14:17:50,21.22,37.19,100.47,24.34
2025-02-11 14:17:54,21.52,37.06,99.21,24.51
2025-02-11 14:17:59,21.82,36.39,100.04,24.75
2025-02-11 14:18:04,21.79,36.89,98.39,24.77
2025-02-11 14:18:09,21.93,36.26,98.29,24.9
2025-02-11 14:18:14,21.81,36.05,97.23,24.9
2025-02-11 14:18:19,21.98,35.11,98.76,24.97
2025-02-11 14:18:24,22.29,35.15,98.62,24.99
2025-02-11 14:18:29,22.19,34.8,100.4,25.06
2025-02-11 14:18:34,21.9,34.8,102.08,24.83
2025-02-11 14:18:39,22.34,35.29,101.54,24.82
2025-02-11 14:18:44,22.73,35.79,102.6,24.6
2025-02-11 14:18:50,22.49,35.07,102.91,24.56
2025-02-11 14:18:54,22.34,35.53,103.5,24.63
2025-02-11 14:18:59,22.52,35.38,102.5,24.87
2025-02-11 14:19:04,22.58,36.21,101.44,24.95
2025-02-11 14:19:09,22.51,35.85,101.23,24.91
2025-02-11 14:19:14,22.25,36.29,101.55,24.63
2025-02-11 14:19:19,22.52,36.9,100.1,24.52
2025-02-11 14:19:24,22.37,36.85,100.34,24.76
2025-02-11 14:19:29,22.81,37.63,98.8,24.49
2025-02-11 14:19:34,22.94,36.98,98.73,24.44
2025-02-11 14:19:39,23.25,36.77,98.54,24.58
2025-02-11 14:19:44,23.42,36.09,99.39,24.61
2025-02-11 14:19:49,23.05,37.0,98.61,24.5
2025-02-11 14:19:54,22.66,37.27,99.09,24.22
2025-02-11 14:20:00,23.11,36.85,100.02,24.04
2025-02-11 14:20:04,23.57,37.65,101.1,24.16
2025-02-11 14:20:09,23.13,38.51,100.21,24.34
2025-02-11 14:20:14,23.13,38.12,100.34,24.14
2025-02-11 14:20:19,22.69,38.97,99.66,23.86
2025-02-11 14:20:24,22.94,38.67,100.26,23.57
2025-02-11 14:20:30,22.82,39.37,101.44,23.32
2025-02-11 14:20:34,22.94,40.06,101.79,23.62
2025-02-11 14:20:39,22.65,40.51,102.02,23.41
2025-02-11 14:20:44,23.15,41.13,102.37,23.69
2025-02-11 14:20:55,23.24,41.33,104.61,23.69
2025-02-11 14:20:59,23.33,41.25,106.23,23.66
2025-02-11 14:21:04,22.96,41.57,105.74,23.79
2025-02-11 14:21:09,23.2,41.98,104.69,23.58
2025-02-11 14:21:14,22.94,42.4,103.02,23.68
2025-02-11 14:21:19,22.8,41.93,104.44,23.43
2025-02-11 14:21:25,23.1,41.53,104.19,23.69
2025-02-11 14:21:29,23.47,40.79,103.49,23.49
2025-02-11 14:21:34,23.7,40.29,103.12,23.62
2025-02-11 14:21:39,23.88,39.8,102.58,23.68
2025-02-11 14:21:44,24.26,39.43,101.66,23.77
2025-02-11 14:21:50,24.25,40.1,103.27,23.55
2025-02-11 14:21:54,23.85,39.16,104.08,23.61
2025-02-11 14:21:59,24.14,38.93,103.82,23.74
2025-02-11 14:22:04,24.33,39.18,104.17,23.49
2025-02-11 14:22:09,23.85,38.94,103.92,23.74
2025-02-11 14:22:15,24.09,39.68,103.98,24.04
2025-02-11 14:22:19,24.49,39.27,103.42,24.01
2025-02-11 14:22:24,24.57,38.98,101.87,23.91
2025-02-11 14:22:29,24.07,38.1,102.91,23.71
2025-02-11 14:22:34,24.55,39.03,102.06,23.99
2025-02-11 14:22:39,24.08,39.08,100.21,23.91
2025-02-11 14:22:44,23.77,39.78,101.81,24.06
2025-02-11 14:22:50,23.65,39.45,103.02,24.02
2025-02-11 14:22:54,23.82,38.47,103.14,23.95
2025-02-11 14:23:00,24.1,38.06,104.32,23.93
2025-02-11 14:23:04,24.54,37.52,104.08,23.92
2025-02-11 14:23:09,24.3,37.76,104.44,23.92
2025-02-11 14:23:14,24.64,38.2,103.56,24.02
2025-02-11 14:23:19,24.57,37.41,102.05,23.79
2025-02-11 14:23:24,24.67,37.4,101.56,23.6
2025-02-11 14:23:29,24.38,38.27,101.99,23.3
2025-02-11 14:23:35,24.7,38.83,102.76,23.1
2025-02-11 14:23:39,24.48,38.98,101.59,22.88
2025-02-11 14:23:44,24.74,39.97,100.04,23.11
2025-02-11 14:23:50,25.18,40.0,99.35,23.21
2025-02-11 14:23:54,24.86,40.44,100.77,22.96
2025-02-11 14:23:59,25.21,40.38,101.76,23.23
2025-02-11 14:24:04,25.29,41.17,101.52,23.38
